Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Prairie View A&M,SWAC,22-Oct,-21.68,86,107.7,66.2,-0.025,-10.06,10.89
Maryland Eastern Shore,MEAC,22-Sep,-22.02,92.1,114.1,68.8,0.027,-8.32,3.29
Central Arkansas,Slnd,24-May,-22.05,90.5,112.6,69.6,-0.071,-5.7,-0.79
Houston Baptist,GWC,26-May,-22.15,91.2,113.3,70.5,0.019,-9.97,-3.9
Arkansas Pine Bluff,SWAC,24-Jul,-22.25,88.9,111.2,65.7,0.005,-7.76,10.84
UMBC,AE,25-May,-22.38,96,118.3,66.9,0.026,-4.32,0.86
Howard,MEAC,24-Jun,-24.24,87.9,112.2,64.6,0.024,-9.19,-1.56
Alcorn St.,SWAC,24-Apr,-25.27,86.2,111.5,75.7,-0.019,-9.38,12.93
SIU Edwardsville,ind,21-Aug,-26.31,86.9,113.2,68.3,0.054,-3.55,-2.89
Chicago St.,GWC,26-Jun,-28.6,89.8,118.4,70.1,-0.005,-5.58,4.72
Centenary,Sum,29-Jan,-29.25,84,113.2,68.7,-0.021,-1.62,-1.33
Southern,SWAC,26-Apr,-30.44,82.3,112.7,64.6,-0.036,-11.29,6.37
