Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Columbia,Ivy,17-Oct,-10.76,95.2,105.9,67.5,-0.032,-5.62,-4.03
Hampton,MEAC,13-17,-10.91,98.2,109.2,68.3,-0.022,-9.42,2.38
St. Francis PA,NEC,13-15,-11.1,100.3,111.4,63.6,0.048,-8.95,-2.64
Robert Morris,NEC,14-15,-11.5,101.4,112.9,62.8,0.061,-8.05,1.05
Sam Houston St.,Slnd,13-15,-11.53,97.4,108.9,70.6,-0.004,-6.99,-0.13
Mount St. Mary's,NEC,19-Oct,-11.6,96.7,108.3,64.6,-0.035,-7.98,-2.48
Central Michigan,MAC,24-Jun,-11.69,97.6,109.3,70.6,-0.005,1.68,2.26
Stetson,ASun,15-Dec,-11.74,95.6,107.4,65.1,0.099,-3.77,10.04
Louisiana Monroe,Slnd,19-Dec,-11.86,93.2,105,68.5,0.03,-3.57,4.64
Wagner,NEC,13-16,-11.92,95.7,107.6,65.9,0.074,-7.98,0.84
Gardner Webb,ASun,20-Sep,-12.03,97.2,109.3,65.8,-0.031,-2.87,7.97
Towson,CAA,21-Aug,-12.15,94.7,106.9,64.3,0.024,-1.52,-9.13
Eastern Illinois,OVC,21-Jun,-12.32,95.6,107.9,68.2,-0.07,-2.05,3.22
Colgate,Pat,15-14,-12.4,99.1,111.5,64.2,0.095,-8.26,-5.09
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
San Diego,WCC,26-Apr,-12.41,100,112.4,69.9,-0.047,3.31,2.86
Sacred Heart,NEC,15-Dec,-12.44,97.9,110.4,71.9,0.055,-9.79,-5.57
Cleveland St.,Horz,25-Apr,-12.53,93.5,106,69.3,-0.11,1.62,0.23
Lamar,Slnd,18-Nov,-12.63,97.2,109.8,73.5,-0.041,-6.69,-0.76
UMBC,AE,21-Jul,-12.88,94.1,107,63,-0.13,-7.34,-1.98
IPFW,ind,25-Mar,-12.89,97.8,110.7,64.4,-0.038,3.21,4.98
Wofford,SC,20-Sep,-12.98,98.7,111.7,70.7,0.028,0.24,9.27
Radford,BSth,16-Dec,-13.01,96,109,65.9,-0.01,-8.95,-5.62
Jacksonville,ASun,13-15,-13.11,97.2,110.3,67.6,0.103,-6.58,-9.71
Southern,SWAC,16-Dec,-13.49,96.6,110,68,-0.078,-13.33,-3.38
Jackson St.,SWAC,17-Dec,-13.87,88.4,102.2,68.2,-0.008,-11.06,3.82
Marist,MAAC,22-Jun,-13.91,93.1,107,64,-0.047,-3.62,-4.74
New Hampshire,AE,20-Oct,-14.06,93.5,107.6,64.1,-0.033,-8.53,-5.94
Long Beach St.,BW,21-Jun,-14.09,96.2,110.3,65.3,-0.008,-0.71,-1.35
Hartford,AE,17-Dec,-14.16,95.6,109.7,64,0.041,-7.12,-3.53
Stony Brook,AE,20-Oct,-14.69,95.4,110.1,64,0.016,-8.12,-7.24
Morgan St.,MEAC,16-Nov,-14.78,96.4,111.2,68.2,0.008,-11.24,2.65
Texas Southern,SWAC,14-15,-15.39,87.9,103.3,69.2,0.004,-13.94,-5.29
Grambling St.,SWAC,18-Nov,-15.43,93.4,108.9,69.1,-0.041,-10.06,8.52
Quinnipiac,NEC,20-Sep,-15.58,98.2,113.8,69.8,-0.067,-9.49,-4.97
Norfolk St.,MEAC,17-Dec,-16.07,92.3,108.4,63.2,0.022,-13.62,-6.34
