Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Siena,MAAC,14-17,-5.62,97.3,103,64.5,0.043,-2.61,-1.51
Sacred Heart,NEC,14-18,-5.99,102.6,108.6,66,-0.027,-5.27,-3.97
Campbell,BSth,17-15,-6,103.7,109.7,67.1,0.05,-5.07,-1.74
High Point,BSth,13-18,-6.17,105.5,111.6,63.7,-0.066,-4.84,-0.57
Texas Tech,B12,23-Aug,-6.18,95.1,101.3,64.1,-0.014,6.8,-6.94
Southern Utah,Sum,14-17,-6.27,98.3,104.6,62.8,0.015,-2.77,-6.72
Mississippi Valley St. 16,SWAC,21-13,-6.3,98,104.2,68.9,0.125,-8.67,14.37
UNC Wilmington,CAA,21-Oct,-6.33,100.3,106.7,65.8,0.01,1.16,2.31
Lafayette,Pat,13-18,-6.34,106.2,112.5,65.4,0.012,-2.79,-0.93
Delaware St.,MEAC,15-14,-6.55,101.3,107.8,60.3,0.012,-6.91,4.1
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Western Carolina,SC,17-18,-6.56,100.7,107.3,65.8,0.043,-4.03,4.22
Jacksonville,ASun,22-Aug,-6.68,99.5,106.1,65.4,-0.019,2.3,7.15
Utah Valley,GWC,20-13,-6.71,99.5,106.2,64.6,0.044,-7.93,-3.11
Cal St. Bakersfield,ind,16-15,-6.72,101.9,108.6,65,0.054,-4.92,-4.17
Niagara,MAAC,14-19,-6.79,103.1,109.9,67.3,0.041,-2.21,1.13
Georgia Southern,SC,15-15,-6.82,97.8,104.6,65.2,0.07,-3.73,4.47
Furman,SC,15-16,-6.85,98.1,105,63.9,0.014,-4.06,-0.06
James Madison,CAA,20-Dec,-7.01,101,108,65.5,0.011,-1.82,-2.71
UC Irvine,BW,20-Dec,-7.2,97.1,104.3,69.1,0.001,-1.26,1.88
Stetson,ASun,20-Sep,-7.5,100.7,108.2,70.4,-0.01,0.75,4.19
Presbyterian,BSth,14-15,-7.61,102.8,110.4,59.4,0.023,-6.08,-2.31
Morgan St.,MEAC,20-Sep,-7.93,99.3,107.2,65.8,-0.106,-5.67,4.4
Central Michigan,MAC,21-Nov,-7.99,98.5,106.5,63.9,-0.005,-0.67,1.09
Marist,MAAC,14-18,-8.05,98.7,106.8,67.5,0.049,-3.85,-4.5
Elon,SC,15-16,-8.22,97.9,106.1,68.3,0.072,-4,5.98
Bethune Cookman,MEAC,18-17,-8.23,101.4,109.7,62.4,0.055,-7.14,2.37
Northern Colorado,BSky,19-Sep,-8.31,104.8,113.1,65.8,-0.055,-3.05,5.59
Appalachian St.,SC,13-18,-8.4,99.6,108,65.5,0.005,-4.14,4.97
North Dakota,GWC,17-15,-8.45,95.9,104.3,66.6,0.026,-7.34,-0.56
Bradley,MVC,25-Jul,-8.46,94.9,103.4,67.4,-0.012,3.88,-1.34
Boston College,ACC,22-Sep,-8.67,95.7,104.3,63.8,0.048,3.88,-3.18
Winthrop,BSth,20-Dec,-8.73,94.6,103.4,61.8,-0.023,-3.28,6.87
Eastern Michigan,MAC,14-18,-8.83,90.5,99.4,59.2,0.096,-0.97,2.54
Chattanooga,SC,21-Nov,-8.93,97.7,106.7,67.3,-0.115,-5.06,0.78
Eastern Kentucky,OVC,16-16,-8.94,100.7,109.7,61.4,0.054,-5.51,-4.33
Texas St.,Slnd,13-17,-8.95,100.5,109.4,71.9,-0.058,-5.19,-3.05
Texas Southern,SWAC,15-18,-8.99,92.6,101.6,65.3,-0.015,-9.31,12.76
Troy,SB,18-Oct,-9.08,105.1,114.2,67.1,0.018,-0.8,1.38
Gardner Webb,BSth,20-Dec,-9.2,95.3,104.6,63.9,-0.031,-4.46,-0.43
Fordham,A10,19-Oct,-9.21,94.8,104,66.4,0.072,2.62,-4.39
Maine,AE,17-Dec,-9.32,96.9,106.2,66.9,-0.042,-6.96,-3.94
IPFW,Sum,19-Nov,-9.52,98.3,107.8,68.4,0.022,-2.84,-6.51
Coppin St.,MEAC,14-16,-9.52,106.6,116.1,68.3,-0.004,-6.72,5.68
VMI,BSth,17-16,-9.53,102.1,111.7,72.7,0.073,-6.42,-4.75
San Jose St.,WAC,22-Sep,-9.6,100.2,109.8,63.9,-0.045,-1.48,-4.91
Santa Clara,WCC,22-Aug,-9.91,103.6,113.5,65.2,-0.075,0.28,-2.25
UC Riverside,BW,14-17,-10,90.5,100.5,62.6,0.12,-2.14,0.5
Pacific,BW,19-Nov,-10.07,97.8,107.8,61.5,-0.027,-3.07,-2.2
Portland,WCC,24-Jul,-10.21,99.3,109.5,66.4,0.017,4.57,8.7
UNC Greensboro,SC,13-19,-10.28,97.5,107.7,71.2,0.093,-2.32,11.15
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Pepperdine,WCC,19-Oct,-10.41,94.6,105,60.8,0.016,-0.67,-5.03
Illinois Chicago,Horz,22-Aug,-10.42,97.9,108.3,64.3,0.008,0.15,-1.68
South Dakota,Sum,18-Oct,-10.47,99,109.5,68,-0.016,-3.31,-7.48
UMKC,Sum,21-Oct,-10.48,99.8,110.3,62.7,-0.021,-2.6,-4.18
Samford,SC,19-Nov,-10.53,102.1,112.6,61.6,0.023,-3.84,2.98
Hampton,MEAC,21-Dec,-10.53,92.1,102.6,67.1,-0.051,-8.07,-4.16
Sam Houston St.,Slnd,13-19,-10.62,89.8,100.4,62.5,-0.012,-2.61,3.89
Loyola Chicago,Horz,23-Jul,-10.75,95.3,106.1,59.5,-0.055,-0.46,-3.72
Liberty,BSth,14-18,-10.8,100.5,111.3,64.3,0.051,-5.54,-3.86
Monmouth,NEC,20-Dec,-11.29,97,108.3,68,0.061,-2.57,3.05
Montana St.,BSky,17-Dec,-11.84,97.3,109.1,66.2,0.028,-5.39,-3.02
Sacramento St.,BSky,18-Oct,-12.03,98.2,110.2,64.9,-0.087,-7.23,-7.04
New Hampshire,AE,13-16,-12.1,90.7,102.8,64.5,0.017,-9.01,-8.89
Mount St. Mary's,NEC,21-Aug,-12.21,93.4,105.6,62.6,-0.051,-4.56,0.43
William & Mary,CAA,26-Jun,-12.55,98.1,110.6,62.3,-0.065,0.17,-0.58
Dartmouth,Ivy,25-May,-12.92,91.2,104.1,62.6,-0.077,-3.27,-6.23
Army,Pat,18-Dec,-12.92,93.7,106.7,68.2,-0.005,-8.01,-11.94
Eastern Illinois,OVC,17-Dec,-13.07,97.6,110.6,63.1,0.018,-6.67,-7.17
