,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
23,317,2006,Northwestern St,70.2234,67.2275,106.708,106.895,98.0041,99.6838,7.21097,14,1,-1.45,10.25,51.6873,48.3597,3.3276,22.155,24.1192,1.9642,38.2177,36.2587,1.959,40.045,43.2337,-3.1887,0.9
24,289,2006,Texas A&M,65.5277,62.8202,104.75,106.596,91.747,90.7951,15.8005,12,0,4.22,-12.2,50.8303,46.5188,4.3115,20.2491,27.3093,7.0602,32.3114,32.6541,-0.3427,43.1734,48.4642,-5.2908,0.8
25,286,2006,Bradley,69.2825,69.0639,102.06,106.52,91.4969,90.1637,16.3566,13,0,6.94,-2.22,48.6549,45.3951,3.2598,21.2871,23.0646,1.7775,35.4893,31.7063,3.783,34.3507,35.4768,-1.1261,0.7
26,314,2006,Montana,69.2003,65.7503,111.648,111.157,101.437,102.341,8.81599,12,1,-0.62,-0.71,55.1033,49.8195,5.2838,19.4218,20.3632,0.9414,33.4055,32.1861,1.2194,36.9988,35.0782,1.9206,0.7
27,286,2006,Bradley,69.2825,69.0639,102.06,106.52,91.4969,90.1637,16.3566,13,0,6.94,-2.22,48.6549,45.3951,3.2598,21.2871,23.0646,1.7775,35.4893,31.7063,3.783,34.3507,35.4768,-1.1261,0.7
28,283,2006,George Mason,64.4385,62.191,106.795,108.235,90.3846,91.7303,16.5044,11,0,4.11,2.16,53.6769,44.4076,9.2693,19.5935,20.4319,0.8384,32.185,31.5415,0.6435,34.6753,27.0174,7.6579,0.8
29,283,2006,George Mason,64.4385,62.191,106.795,108.235,90.3846,91.7303,16.5044,11,0,4.11,2.16,53.6769,44.4076,9.2693,19.5935,20.4319,0.8384,32.185,31.5415,0.6435,34.6753,27.0174,7.6579,0.8
30,442,2008,Siena,69.7255,66.6906,108.872,108.144,100.328,101.391,6.75339,13,1,-1.41,3.69,50.9237,51.4837,-0.56,15.7346,24.0181,8.2835,31.3427,36.952,-5.6093,36.5581,25.7171,10.841,0.8
31,433,2008,Villanova,69.3156,67.2121,105.009,108.903,100.144,95.9216,12.9811,12,0,9.14,-2.4,49.1307,51.0738,-1.9431,20.3759,23.4281,3.0522,35.9824,31.2285,4.7539,38.8972,46.3656,-7.4684,0.6
32,445,2008,San Diego,65.2102,62.4343,98.9013,101.501,95.9717,96.9684,4.53284,13,1,1.43,2.61,49.1953,49.0468,0.1485,21.9461,22.8569,0.9108,32.8225,30.7828,2.0397,35.5687,34.0414,1.5273,0.8
33,429,2008,Western Kentucky,68.7887,66.5432,110.914,111.076,94.3478,97.011,14.0646,12,1,-0.85,1.69,53.5336,47.2206,6.313,20.1005,24.4922,4.3917,36.801,33.319,3.482,35.9919,48.7238,-12.7319,0.9
34,407,2008,Davidson,68.3431,66.0806,113.318,114.056,92.4581,93.5027,20.5532,10,1,3.36,14.93,54.0816,49.3381,4.7435,16.738,23.9658,7.2278,32.5454,29.2032,3.3422,26.2933,37.2863,-10.993,1.0
35,407,2008,Davidson,68.3431,66.0806,113.318,114.056,92.4581,93.5027,20.5532,10,1,3.36,14.93,54.0816,49.3381,4.7435,16.738,23.9658,7.2278,32.5454,29.2032,3.3422,26.2933,37.2863,-10.993,1.0
36,501,2009,Cleveland St,64.5586,63.1428,100.705,104.438,92.5419,92.7341,11.7042,13,1,3.76,7.07,46.9272,46.4679,0.4593,18.829,24.1304,5.3014,33.5038,34.3443,-0.8405,36.7116,37.6375,-0.9259,0.8
37,488,2009,Arizona,64.4079,63.6396,111.384,117.23,105.805,101.217,16.0133,12,0,11.33,2.34,53.0407,50.93600000000001,2.1047,19.2818,18.008,-1.2738,35.61199999999999,33.9544,1.6576,37.4934,25.1231,12.3703,0.5
38,482,2009,Wisconsin,58.8514,58.4386,108.415,113.854,99.2701,95.8886,17.9651,12,0,9.51,1.32,49.911,48.9322,0.9788,15.9844,19.3335,3.3491,31.5998,26.2546,5.3452,34.5789,34.108000000000004,0.4709,0.7
