,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
52,2002,McNeese St,68.6084,65.6792,102.226,103.553,92.412,97.8228,5.73024,14,1,-4.6,12.81,49.1038,46.0402,3.0636,22.9615,22.712,-0.2495,37.4506,33.3649,4.0857,40.173,40.352,-0.179,1.0
53,2002,Hampton,70.1835,68.8228,112.24,109.772,98.9916,105.848,3.92456,15,1,-8.67,0.87,53.3988,48.2292,5.1696,20.8757,21.4897,0.614,39.3833,35.9833,3.4,42.0074,32.0833,9.9241,0.9
54,2002,Davidson,68.8836,64.8697,98.0026,100.838,97.679,97.4915,3.34606,13,1,1.79,9.43,48.8209,44.2918,4.5291,22.5925,19.3429,-3.2496,32.1748,33.3948,-1.22,34.1619,37.1184,-2.9565,0.7
55,2002,Illinois Chicago,68.5598,67.2162,105.712,108.488,104.374,105.214,3.27351,15,1,1.84,0.67,49.7525,50.2877,-0.5352,18.4701,21.2451,2.775,32.7993,35.223,-2.4237,42.1892,44.9367,-2.7475,0.9
56,2002,Murray St,72.066,68.8517,106.506,106.304,103.119,105.225,1.07887,14,1,-1.74,3.98,49.0201,50.4635,-1.4434,20.0085,21.0228,1.0143,40.5797,32.6107,7.968999999999999,28.984,41.2514,-12.2674,0.9
57,2002,Central Connecticut St,67.3755,63.7111,105.115,100.11200000000001,92.1765,99.1391,0.972884,14,1,-11.95,-4.98,49.6907,46.5035,3.1872,22.0845,21.4403,-0.6442,38.9925,30.8333,8.1592,39.2014,25.0135,14.1879,1.0
58,2002,Holy Cross,64.2138,62.0567,98.0754,97.6868,92.2897,98.3544,-0.6676529999999999,16,1,-6.4,-3.38,44.9386,48.2263,-3.2877,22.076999999999998,23.2983,1.2213,37.6007,27.7672,9.8335,46.2844,36.4526,9.8318,0.8
59,2002,Siena,68.8425,66.0443,98.693,100.09899999999999,96.3688,101.835,-1.73585,16,1,-4.14,-0.42,47.8474,45.5202,2.3272,21.5016,20.7979,-0.7037,31.0185,31.7438,-0.7253,36.8885,40.9441,-4.0556,0.6
60,2002,Boston University,65.0025,64.2616,102.661,100.971,95.6198,103.16799999999999,-2.19695,16,1,-9.18,0.25,48.0758,45.4545,2.6213,19.7274,19.87,0.1426,34.9023,32.0135,2.8888,36.8421,37.2159,-0.3738,0.9
61,2002,Florida Atlantic,71.2357,69.8592,100.29,98.4514,98.4183,101.539,-3.08732,15,1,-4.94,-4.52,46.6045,49.4804,-2.8759,20.7812,25.3128,4.5316,39.8361,37.6744,2.1617,30.8968,37.5866,-6.6898,0.7
62,2002,Montana,70.0308,68.3682,101.955,102.41799999999999,105.02799999999999,106.604,-4.18602,15,1,-1.95,0.44,51.4085,50.5751,0.8334,21.1651,19.3396,-1.8255,28.5862,33.6511,-5.0649,43.5339,41.5254,2.0085,0.6
63,2002,Winthrop,68.2128,65.6142,100.238,97.1532,94.6587,102.197,-5.04399,16,1,-10.73,-0.98,46.9902,45.6467,1.3435,21.1952,21.2455,0.0503,34.7349,30.5263,4.2086,39.9877,40.694,-0.7063,0.8
64,2002,Alcorn St,76.0664,72.5438,103.421,99.7682,99.637,108.17,-8.401769999999999,16,1,-14.53,2.6,50.6926,48.7268,1.9658,22.587,21.5505,-1.0365,39.4599,33.3333,6.1266,40.4901,35.0663,5.4238,0.8
65,2003,Kentucky,69.4285,67.5518,111.461,116.802,92.4391,87.0347,29.7672,1,1,11.2,6.77,53.7583,46.7888,6.9695,20.0752,23.769000000000002,3.6938,39.6918,31.5363,8.1555,35.2997,32.4636,2.8361,1.0
66,2003,Pittsburgh,68.235,64.8023,109.35,113.295,86.6344,86.1165,27.1788,2,1,7.07,-8.24,56.4553,44.0,12.4553,22.4982,23.612,1.1138,36.9863,28.5338,8.4525,42.3556,34.4,7.9556,0.9
67,2003,Kansas,74.3408,72.6511,109.554,114.00299999999999,89.2999,86.9009,27.1016,2,0,11.84,6.08,52.6829,46.0191,6.6638,20.0666,22.7397,2.6731,39.5104,30.4803,9.0301,37.7384,25.3412,12.3972,0.8
68,2003,Arizona,76.3024,73.0165,110.852,115.311,91.5901,88.8866,26.4243,1,0,8.69,8.19,51.4922,45.7652,5.727,19.0144,21.695999999999998,2.6816,39.2726,32.204,7.0686,36.8072,26.949,9.8582,0.9
